Tempo (ms),(B) INTERCEPT_ORIG_TEMPO,(C) TVD (metros),(A) PSTM_COR
640,0.0,534.8757315,3860.1557617
644,0.0,538.3486377,4346.84375
648,0.0,541.8257122,3161.6386719
652,0.0,545.3069601,2688.8056641
656,0.0,548.7924473,1632.6118164
660,0.0,552.2820568,-896.2458496
664,0.0,555.7758547,-5077.8164063
668,0.0,559.273846,-8289.5976563
672,-1e-07,562.7760358,-4991.6210938
676,0.0,566.28249,5439.3828125
680,0.0,569.7930918,13767.1835938
684,0.0,573.307907,10930.2109375
688,0.0,576.8269409,-647.7070313
692,0.0,580.3501985,-10270.6835938
696,0.0,583.8777426,-9071.21875
700,0.0,587.409466,178.5431519
704,0.0,590.9454251,5616.9492188
708,0.0,594.4856282,2714.2658691
712,0.0,598.0300804,-1862.954834
716,0.0,601.5787868,-2112.5737305
720,0.0,605.1318135,532.0402832
724,0.0,608.6890435,929.0874023
728,0.0,612.2505431,-1250.4450684
732,0.0,615.8163174,-1425.2495117
736,0.0,619.3863715,753.2670898
740,0.0,622.9607105,846.126709
744,-1e-07,626.5394005,-2496.7744141
748,0.0,630.1223248,-4969.21875
752,1e-07,633.7095494,-2997.3569336
756,1e-07,637.3010795,778.6247559
760,0.0,640.8969204,1539.253418
764,-1e-07,644.4970771,-1120.4338379
768,-1e-07,648.1015872,-3228.6943359
772,0.0,651.7104199,-913.2624512
776,0.0,655.3235553,5121.953125
780,1e-07,658.9410273,8160.2929688
784,0.0,662.5628412,2972.2817383
788,0.0,666.1890021,-5408.03125
792,0.0,669.8195153,-6846.8710938
796,0.0,673.4543965,84.3049316
800,0.0,677.0936803,5633.671875
804,1e-07,680.7372816,2839.0510254
808,0.0,684.3852561,-2956.6818848
812,0.0,688.037609,-2991.8886719
816,-1e-07,691.6943457,1673.7885742
820,-1e-07,695.3554712,2992.3413086
824,0.0,699.0209909,-536.9489746
828,0.0,702.6909102,-2412.2275391
832,0.0,706.3652479,1167.1210938
836,0.0,710.0440294,6540.8984375
840,1e-07,713.7271789,7733.0820313
844,0.0,717.4147489,2804.4001465
848,0.0,721.106745,-4314.6523438
852,0.0,724.8031723,-7761.9492188
856,0.0,728.5040362,-4814.8671875
860,0.0,732.2093421,2324.4411621
864,0.0,735.9190952,6413.140625
868,1e-07,739.6333008,1133.0788574
872,0.0,743.3519966,-8812.7421875
876,0.0,747.0751523,-11195.1914063
880,-1e-07,750.8027479,-3181.0280762
884,-1e-07,754.5348173,4682.4648438
888,0.0,758.2713661,5258.9179688
892,0.0,762.0123997,3663.9475098
896,0.0,765.7579234,4154.9453125
900,0.0,769.5079426,2784.0380859
904,0.0,773.2624627,-1954.5131836
908,0.0,777.0214891,-5187.4101563
